ULAN,ID_WIKIDATA,ConstituentID,DisplayName,ArtistBio,Nationality,pays,Gender,BeginDate,EndDate,datenaissance,datemort
,,252,Mordechai Avniel,Israeli,Israeli,Israel,Male,0,,,
,,254,Kiyoshi Awazu,"Japanese, 1929–2009",Japanese,Japan,Male,1929,2009,,
500125452,Q2874830,255,Ay-O,"Japanese, born 1931",Japanese,Japan,Male,1931,,,
500026635,Q523722,256,Alice Aycock,"American, born 1946",American,United States,Female,1946,,,
,,257,Pierre Ayot,"Canadian, 1943–1995",Canadian,Canada,Male,1943,1995,,
500018746,Q2739689,258,Michael Ayrton,"British, 1921–1975",British,United Kingdom,Male,1921,1975,,
,,259,Luis Cruz Azaceta,"American, born 1942",American,United States,Male,1942,,,
500330875,Q11578726,260,Umetaro Azechi,"Japanese, 1902–1999",Japanese,Japan,Male,1902,1999,,
500192170,Q139095,261,Kengiro Azuma,"Japanese, born 1926",Japanese,Japan,Male,1926,,,
500072111,Q67897,262,Johannes Baader,"German, 1875–1955",German,Germany,Male,1875,1955,,
500108031,Q481655,263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),"German, 1892–1927",German,Germany,Male,1892,1927,,
,,264,Kurt W. Baasch,"American, born Venezuela. 1891–1964",American,United States,Male,1891,1964,,
,,265,Alice Baber,"American, 1928–1982",American,United States,Female,1928,1982,,
,,266,Bacard Fils,French,French,France,Male,0,,,
,,268,Edmondo Bacci,"Italian, 1913–1978",Italian,Italy,Male,1913,1978,,
,,269,Elvira Bach,"German, born 1951",German,Germany,Female,1951,,,
,,270,Olof Backman,"Swedish, born 1899",Swedish,Sweden,Male,1899,,,
,,271,Olof Backstrom,"Finnish, born 1922",Finnish,Finland,Male,1922,,,
500021153,Q154340,272,Francis Bacon,"British, born Ireland. 1909–1992",British,United Kingdom,Male,1909,1992,,
500024574,Q7160630,273,Peggy Bacon,"American, 1895–1987",American,United States,Female,1895,1987,,
,,275,Karl Baden,"American, born 1952",American,United States,Male,1952,,,
,,276,Mowry Thatcher Baden,"American, born 1936",American,United States,Male,1936,,,
,,277,Aquiles Badi,"Argentine, 1894–1976",Argentine,Argentina,Male,1894,1976,,
,,278,Libero Badii,"Argentine, 1916–2001",Argentine,Argentina,Male,1916,2001,,
,,279,Frank Badur,"German, born 1944",German,Germany,Male,1944,,,
,Q1239698,280,Donald Baechler,"American, 1956 – 2022",American,United States,Male,1956,2022,1956-11-22T00:00:00Z,2022-04-04T00:00:00Z
500009657,Q1689871,281,Jo Baer,"American, born 1929",American,United States,Female,1929,,,
,,282,Martin Baer,"American, 1894–1961",American,United States,Male,1894,1961,,
,,283,Olle Baertling,"Swedish, 1911–1981",Swedish,Sweden,Male,1911,1981,,
,,284,Myrna Báez,"American, born Puerto Rico 1931",American,United States,Female,1931,,,
,Q6220240,285,John Bageris,"American, 1924–2000",American,United States,Male,1924,2000,,
,,286,Heinz Bahr,"German, born 1934",German,Germany,Male,1934,,,
